Year,Fuel,LCV,Fuel GFI,Tier1 GFI,Tier2 GFI
2028,MGO,0.041,90.63,77.439,89.568
2028,Ethanol,0.0267,141.771,77.439,89.568
2028,HFO,0.0405,91.6,77.439,89.568
2028,LFO,0.0406,92.69,77.439,89.568
2028,LNG,0.05,83.66,77.439,89.568
2028,LPG,0.046,73.02,77.439,89.568
2028,Grey-Methanol,0.02,101.9,77.439,89.568
2028,B30,0.037,69.28,77.439,89.568
2028,Bio-Methanol,0.02,17,77.439,89.568
2028,Green-Ammonia,0.0186,5.27,77.439,89.568
2028,Green-Methanol,0.02,2.86,77.439,89.568
2029,MGO,0.041,90.63,75.573,87.702
2029,Ethanol,0.0267,141.771,75.573,87.702
2029,HFO,0.0405,91.6,75.573,87.702
2029,LFO,0.0406,92.69,75.573,87.702
2029,LNG,0.05,83.66,75.573,87.702
2029,LPG,0.046,73.02,75.573,87.702
2029,Grey-Methanol,0.02,101.9,75.573,87.702
2029,B30,0.037,69.28,75.573,87.702
2029,Bio-Methanol,0.02,17,75.573,87.702
2029,Green-Ammonia,0.0186,5.27,75.573,87.702
2029,Green-Methanol,0.02,2.86,75.573,87.702
2030,MGO,0.041,90.63,73.707,85.836
2030,Ethanol,0.0267,141.771,73.707,85.836
2030,HFO,0.0405,91.6,73.707,85.836
2030,LFO,0.0406,92.69,73.707,85.836
2030,LNG,0.05,83.66,73.707,85.836
2030,LPG,0.046,73.02,73.707,85.836
2030,Grey-Methanol,0.02,101.9,73.707,85.836
2030,B30,0.037,69.28,73.707,85.836
2030,Bio-Methanol,0.02,17,73.707,85.836
2030,Green-Ammonia,0.0186,5.27,73.707,85.836
2030,Green-Methanol,0.02,2.86,73.707,85.836
2031,MGO,0.041,90.63,69.6018,81.7308
2031,Ethanol,0.0267,141.771,69.6018,81.7308
2031,HFO,0.0405,91.6,69.6018,81.7308
2031,LFO,0.0406,92.69,69.6018,81.7308
2031,LNG,0.05,83.66,69.6018,81.7308
2031,LPG,0.046,73.02,69.6018,81.7308
2031,Grey-Methanol,0.02,101.9,69.6018,81.7308
2031,B30,0.037,69.28,69.6018,81.7308
2031,Bio-Methanol,0.02,17,69.6018,81.7308
2031,Green-Ammonia,0.0186,5.27,69.6018,81.7308
2031,Green-Methanol,0.02,2.86,69.6018,81.7308
2032,MGO,0.041,90.63,65.4966,77.6256
2032,Ethanol,0.0267,141.771,65.4966,77.6256
2032,HFO,0.0405,91.6,65.4966,77.6256
2032,LFO,0.0406,92.69,65.4966,77.6256
2032,LNG,0.05,83.66,65.4966,77.6256
2032,LPG,0.046,73.02,65.4966,77.6256
2032,Grey-Methanol,0.02,101.9,65.4966,77.6256
2032,B30,0.037,69.28,65.4966,77.6256
2032,Bio-Methanol,0.02,17,65.4966,77.6256
2032,Green-Ammonia,0.0186,5.27,65.4966,77.6256
2032,Green-Methanol,0.02,2.86,65.4966,77.6256
2033,MGO,0.041,90.63,61.3914,73.5204
2033,Ethanol,0.0267,141.771,61.3914,73.5204
2033,HFO,0.0405,91.6,61.3914,73.5204
2033,LFO,0.0406,92.69,61.3914,73.5204
2033,LNG,0.05,83.66,61.3914,73.5204
2033,LPG,0.046,73.02,61.3914,73.5204
2033,Grey-Methanol,0.02,101.9,61.3914,73.5204
2033,B30,0.037,69.28,61.3914,73.5204
2033,Bio-Methanol,0.02,17,61.3914,73.5204
2033,Green-Ammonia,0.0186,5.27,61.3914,73.5204
2033,Green-Methanol,0.02,2.86,61.3914,73.5204
2034,MGO,0.041,90.63,57.2862,69.4152
2034,Ethanol,0.0267,141.771,57.2862,69.4152
2034,HFO,0.0405,91.6,57.2862,69.4152
2034,LFO,0.0406,92.69,57.2862,69.4152
2034,LNG,0.05,83.66,57.2862,69.4152
2034,LPG,0.046,73.02,57.2862,69.4152
2034,Grey-Methanol,0.02,101.9,57.2862,69.4152
2034,B30,0.037,69.28,57.2862,69.4152
2034,Bio-Methanol,0.02,17,57.2862,69.4152
2034,Green-Ammonia,0.0186,5.27,57.2862,69.4152
2034,Green-Methanol,0.02,2.86,57.2862,69.4152
2035,MGO,0.041,90.63,53.181,65.31
2035,Ethanol,0.0267,141.771,53.181,65.31
2035,HFO,0.0405,91.6,53.181,65.31
2035,LFO,0.0406,92.69,53.181,65.31
2035,LNG,0.05,83.66,53.181,65.31
2035,LPG,0.046,73.02,53.181,65.31
2035,Grey-Methanol,0.02,101.9,53.181,65.31
2035,B30,0.037,69.28,53.181,65.31
2035,Bio-Methanol,0.02,17,53.181,65.31
2035,Green-Ammonia,0.0186,5.27,53.181,65.31
2035,Green-Methanol,0.02,2.86,53.181,65.31
,,,,,
